Date,Highest Monthly Outdoor Tempreture,Lowest Monthly Outdoor Tempreture,Average Monthly Tempreture,Natural Gas Consumtion[m3],Global Warming Potential [kg CO2 eq],Acidification Potential [kg SO2 eq,HH Particulate [kg PM2.5 eq],Eutrophication Potential [kg N eq],Ozone Depletion Potential [kg CFC-11 eq],Smog Potential [kg O3 eq],Payable_Amount[IRR],Payable_Amount[USD],Month,Year,Season
2015-02-01,17.0,-3.0,8.0,6430,15441.221326908413,132.4467710391825,7.899978793846542,1.301067169982594,6.2070590123756646e-09,332.63726444150115,5176150,123.24166666666666,2,2015,Winter
2015-04-18,31.0,7.0,19.0,10192,24475.41644849931,209.93740131125162,12.522019263901083,2.062282518889984,9.838622932213495e-09,527.2533435750825,8204559,195.34664285714285,4,2015,Spring
2015-05-20,35.0,14.0,25.0,48,115.26883727707681,0.9887161757201803,0.05897340312669269,0.009712476541083127,4.633574379378412e-11,2.483139765659729,38640,0.92,5,2015,Spring
2015-06-25,41.0,19.0,32.0,53,127.2760078267723,1.0917074440243657,0.06511646595238985,0.010724192847445952,5.11623837723033e-11,2.7418001579159506,47818,1.1385238095238095,6,2015,Summer
2015-08-02,39.0,20.0,31.0,32,76.8458915180512,0.6591441171467869,0.0393156020844618,0.006474984360722085,3.089049586252275e-11,1.6554265104398191,29622,0.7052857142857143,8,2015,Summer
2015-09-15,34.0,16.0,26.0,34,81.64875973792941,0.7003406244684611,0.04177282721474066,0.006879670883267215,3.282115185393042e-11,1.758890667342308,31474,0.7493809523809524,9,2015,Fall
2015-11-21,18.0,4.0,11.0,71,170.50182180567612,1.4624760099194334,0.08723149212489961,0.014366371550352126,6.853828769497235e-11,3.672977570038349,65725,1.5648809523809524,11,2015,Fall
2015-11-25,18.0,4.0,11.0,3767,9046.20229214059,77.59362154037332,4.628183532880237,0.7622270652137529,3.63639055981635e-09,194.87473952583747,3487768,83.04209523809524,11,2015,Fall
2016-01-03,17.0,-4.0,7.0,7662,18399.788150353386,157.8238195493338,9.413629474098322,1.5503540678703942,7.39634310308279e-09,396.3711850934342,7095012,168.92885714285714,1,2016,Winter
2016-02-03,24.0,-5.0,10.0,6124,14706.38248926705,126.14370541896633,7.524023348913876,1.239150132033189,5.911668645690291e-09,316.8072484354204,5670824,135.01961904761905,2,2016,Winter
2016-03-08,23.0,2.0,14.0,4686,11253.120239174623,96.5234166546826,5.757278480243374,0.9481805223232402,4.523526987868175e-09,242.416519622531,4339236,103.31514285714286,3,2016,Spring
2016-04-17,32.0,3.0,18.0,4345,10434.23120768539,89.49941215633716,5.338321595530829,0.8791814702292956,4.194350141333167e-09,224.7758808706567,4023470,95.79690476190476,4,2016,Spring
2016-05-26,35.0,14.0,25.0,533,1279.9643805975404,10.97886920122617,0.6548504972193168,0.10784895825827723,5.145198217101446e-10,27.573197814513236,493558,11.751380952380952,5,2016,Spring
2016-07-16,40.0,20.0,32.0,65,156.0932171460415,1.338886487954411,0.07985981673406302,0.013152311982716734,6.274631972074933e-11,3.362585099330883,60190,1.4330952380952382,7,2016,Summer
2016-08-29,38.0,22.0,30.0,56,134.4803101565896,1.153502205006877,0.06880230364780815,0.011331222631263647,5.405836775941481e-11,2.8969963932696836,51856,1.2346666666666666,8,2016,Summer
2016-10-16,30.0,11.0,19.0,65,156.0932171460415,1.338886487954411,0.07985981673406302,0.013152311982716734,6.274631972074933e-11,3.362585099330883,60190,1.4330952380952382,10,2016,Fall
2016-12-03,17.0,-1.0,6.0,4397,10559.105781402222,90.57052134670069,5.402209448918079,0.8897033198154689,4.244547197109766e-09,227.4659489501214,4071623,96.94340476190476,12,2016,Winter
2017-01-14,15.0,-3.0,5.0,8461,20318.534004194727,174.2818242243426,10.395290913644727,1.7120263336271737,8.167640171650155e-09,437.7051157759784,7834886,186.54490476190477,1,2017,Winter
2017-02-21,18.0,-5.0,5.0,8836,21219.07179542189,182.00616934715654,10.856020625572013,1.7879050566043857,8.529638170039094e-09,457.1046451951951,8182136,194.8127619047619,2,2017,Winter
2017-04-12,29.0,4.0,18.0,7491,17989.1429175538,154.30151817333063,9.203536725459479,1.5157533701927854,7.231272015817435e-09,387.5249996782714,6936666,165.1587142857143,4,2017,Spring
2017-05-30,35.0,13.0,25.0,61,146.4874807062851,1.2564934733110624,0.0749453664735053,0.012342938937626474,5.888500773793399e-11,3.1556567855259052,56486,1.3449047619047618,5,2017,Spring
2017-07-15,41.0,17.0,32.0,46,110.4659690571986,0.9475196683985061,0.056516177996413834,0.009307790018537997,4.440508780237645e-11,2.37967560875724,42596,1.014190476190476,7,2017,Summer
2017-08-27,38.0,21.0,30.0,1,2.4014341099391,0.02059825366083709,0.0012286125651394311,0.00020234326127256514,9.653279957038359e-13,0.05173207845124435,926,0.02204761904761905,8,2017,Summer
2017-10-15,29.0,10.0,20.0,19,45.627248088842904,0.3913668195559047,0.02334363873764919,0.0038445219641787378,1.8341231918372882e-11,0.9829094905736426,17594,0.4189047619047619,10,2017,Fall
2017-11-30,24.0,2.0,14.0,2509,6025.198181837202,51.68101843504026,3.0825889259348327,0.5076792425328659,2.4220079412209243e-09,129.79578483417208,2323334,55.31747619047619,11,2017,Fall
2018-01-12,16.0,-8.0,6.0,11054,26545.452651266813,227.6930959668932,13.581083295051272,2.2367024101069353,1.0670735664510201e-08,571.846395200055,10236004,243.71438095238096,1,2018,Winter
2018-02-24,16.0,-3.0,8.0,10084,24216.061564625885,207.71278991588122,12.389329106866024,2.040429446672547,9.734367508677481e-09,521.666279102348,9337784,222.32819047619049,2,2018,Winter
2018-04-18,26.0,3.0,17.0,3275,7864.696710050553,67.45928073924146,4.023706150831637,0.6626741806676508,3.1614491859300625e-09,169.42255692782524,3032650,72.20595238095238,4,2018,Spring
2018-05-29,33.0,10.0,21.0,1109,2663.190427922462,22.843463309868334,1.362531334739629,0.22439867675127476,1.070548747235554e-09,57.37087500242998,1026934,24.450809523809525,5,2018,Spring
2018-07-16,41.0,25.0,34.0,74,177.7061241354934,1.5242707709019447,0.0909173298203179,0.014973401334169821,7.143427168208385e-11,3.828173805392082,68524,1.6315238095238096,7,2018,Summer
2018-09-04,38.0,17.0,27.0,59,141.6846124864069,1.2152969659893884,0.07248814134322644,0.011938252415081344,5.695435174652632e-11,3.0521926286234167,62829,1.4959285714285715,9,2018,Fall
2018-10-21,32.0,9.0,19.0,60,144.086046596346,1.2358952196502253,0.07371675390836586,0.01214059567635391,5.7919679742230153e-11,3.1039247070746607,63894,1.5212857142857144,10,2018,Fall
2018-12-09,17.0,1.0,9.0,8301,19934.30454660447,170.98610363860868,10.198712903222418,1.6796514118235633,8.013187692337542e-09,429.42798322377934,8134250,193.67261904761904,12,2018,Winter
2019-01-23,15.0,-2.0,6.0,11237,26984.91509338567,231.46257638682638,13.805919394471788,2.2737312269198147,1.0847390687724004e-08,581.3133655566328,10816454,257.53461904761906,1,2019,Winter
2019-03-03,19.0,1.0,11.0,7498,18005.952956323374,154.44570594895652,9.212137013415454,1.5171697730216935,7.238029311787361e-09,387.88712422743015,7299341,173.79383333333334,3,2019,Spring
2019-05-01,34.0,12.0,24.0,6400,15369.17830361024,131.82882342935739,7.863120416892359,1.294996872144417,6.17809917250455e-09,331.08530208796384,6465256,153.93466666666666,5,2019,Spring
2019-06-22,40.0,16.0,30.0,69,165.6989535857979,1.4212795025977591,0.08477426699462075,0.013961685027806994,6.660763170356467e-11,3.56951341313586,73478,1.7494761904761904,6,2019,Summer
2019-08-06,40.0,22.0,31.0,51,122.47313960689411,1.0505109367026917,0.062659240822111,0.010319506324900822,4.9231727780895634e-11,2.6383360010134616,54310,1.293095238095238,8,2019,Summer
2019-10-05,30.0,10.0,20.0,67,160.8960853659197,1.3800829952760851,0.08231704186434188,0.013556998505261864,6.467697571215701e-11,3.4660492562333713,71348,1.6987619047619047,10,2019,Fall
2019-11-25,20.0,1.0,9.0,3986,9572.116362217253,82.10463909209665,4.8972496846457725,0.8065402394324447,3.84779739087549e-09,206.20406470665998,4156827,98.97207142857143,11,2019,Fall
2020-01-08,12.0,-2.0,4.0,9427,22638.319354395895,194.17973726071125,11.582130651569418,1.9074899240164715,9.10014701550006e-09,487.6783035598805,9131261,217.4109761904762,1,2020,Winter
2020-02-16,18.0,-7.0,7.0,9367,22494.23330779955,192.94384204106103,11.508413897661052,1.8953493283401177,9.04222733575783e-09,484.5743788528058,9030035,215.00083333333333,2,2020,Winter
2020-04-06,26.0,2.0,15.0,5423,13022.97717819974,111.70432960271954,6.662765940751135,1.0973075058811208,5.234973720701902e-09,280.5430614410981,5478356,130.43704761904763,4,2020,Spring
2020-06-28,39.0,16.0,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,2020,Summer
2020-08-17,39.0,17.0,29.0,71,170.50182180567612,1.4624760099194334,0.08723149212489961,0.014366371550352126,6.853828769497235e-11,3.672977570038349,75608,1.8001904761904761,8,2020,Summer
2020-10-03,30.0,9.0,18.0,62,148.8889148162242,1.2770917269718995,0.07617397903864473,0.01254528219889904,5.985033573363783e-11,3.2073888639771497,66024,1.572,10,2020,Fall
2021-05-31,37.0,13.0,25.0,22422,53844.9556130545,461.85404358328924,27.547950935556326,4.536940604253456,2.1644584319671408e-08,1159.9366630338009,22954729,546.5411666666666,5,2021,Spring
2021-07-13,41.0,21.0,32.0,55,132.0788760466505,1.13290395134604,0.06757369108266871,0.011128879369991082,5.309303976371098e-11,2.845264314818439,52456000,1248.952380952381,7,2021,Summer
2021-09-04,38.0,17.0,28.0,33,79.2473256279903,0.679742370807624,0.04054421464960123,0.00667732762199465,3.185582385822658e-11,1.7071585888910634,0,0.0,9,2021,Fall
2021-12-04,18.0,0.0,8.0,6575,15789.429272849584,135.43351782000386,8.07812761579176,1.330406942867116,6.347031571752721e-09,340.13841581693157,4866509,115.8692619047619,12,2021,Winter
2022-01-17,15.0,-5.0,6.0,10627,25520.040286322816,218.89764165371577,13.056465729736734,2.15030183754355,1.0258540610344665e-08,549.7567977013737,58247000,1386.8333333333333,1,2022,Winter
2022-03-13,23.0,0.0,13.0,11372,27309.108698227446,234.2433406310394,13.971782090765611,2.3010475671916106,1.0977709967144021e-08,588.2971961475507,0,0.0,3,2022,Spring
2013-06-11,37.0,18.0,28.0,14438,34671.905679300726,297.3975863551659,17.738708215483108,2.9214320062532955,1.3937405601971983e-08,746.9077486790659,8662801,206.25716666666668,6,2013,Summer
